,0
0,29.73469
1,29.84166
2,29.094622
3,30.22491
4,28.781208
5,28.80068
6,31.854424
7,29.524675
8,30.413857
9,29.0319
10,30.825579
11,28.563204
12,28.314465
13,29.33131
14,30.52739
15,31.129377
16,30.1602
17,31.253271
18,30.868713
19,32.082226
20,31.337297
21,31.934246
22,30.409925
23,29.48483
24,32.85758
25,32.542862
26,32.56435
27,32.805653
28,34.14427
29,33.945423
30,33.765766
31,31.318521
32,30.802317
33,32.296223
34,32.584637
35,33.04
36,33.051098
37,32.954483
38,31.874146
39,35.033253
40,35.727814
41,35.280964
42,36.04975
43,36.71224
44,37.437904
45,37.66671
46,37.001694
47,35.6083
48,35.40133
49,34.506405
50,32.97649
51,34.16962
52,32.76316
53,33.03743
54,35.542934
55,35.502644
56,36.477707
57,31.809448
58,34.34505
59,34.477947
60,35.79473
61,36.07324
62,30.907377
63,34.45202
64,30.957615
65,31.099611
66,31.58297
67,28.494661
68,28.346935
69,29.433321
70,30.331623
71,32.617535
72,33.957096
73,34.508255
74,34.259956
75,32.806446
76,30.985386
77,31.204786
78,31.738485
79,31.662731
80,32.976833
81,32.591698
82,33.413162
83,32.8862
84,31.690662
85,32.44216
86,32.741898
87,31.242634
88,31.432793
89,30.401707
90,29.700087
91,30.250505
92,32.288147
93,29.308523
94,31.597097
95,30.855286
96,31.532831
97,30.10308
98,31.102798
99,31.594591
100,30.535555
101,27.742224
102,28.851278
103,29.79485
104,31.42693
105,29.674341
106,28.679665
107,30.06922
108,30.119835
109,31.695442
110,30.6839
111,30.347012
112,29.15863
113,30.076006
114,31.25972
115,31.884478
116,31.872583
117,29.601133
118,27.949911
119,28.926859
120,28.908173
121,27.732836
122,29.417883
123,29.828152
124,29.358597
125,30.376091
126,29.565351
127,28.070927
128,27.278603
129,27.86809
130,28.462519
131,28.23746
132,27.601124
133,28.33494
134,28.965721
135,30.559797
136,31.11877
137,28.82032
138,31.316257
139,31.48369
140,29.852602
141,31.071894
142,29.305471
143,29.18134
144,30.001297
145,31.367939
146,31.998539
147,31.192707
148,31.287844
149,30.527603
150,30.767893
151,28.57721
152,30.902052
153,29.829159
154,30.657269
155,30.943453
156,30.900494
157,30.43146
158,31.356642
159,29.820644
160,29.526201
161,29.495567
162,29.934801
163,29.003632
164,26.321272
165,28.659964
166,30.128956
167,30.302235
168,28.633047
169,28.459805
170,29.119284
171,29.819843
172,28.334738
173,27.37398
174,28.489851
175,29.135921
176,28.586687
177,25.725075
178,28.47801
179,29.469416
180,29.286608
181,28.955412
182,30.311176
183,29.251932
184,25.01266
185,26.74742
186,27.53026
187,27.72358
188,26.27881
189,26.69034
190,27.024208
191,26.555244
192,25.197765
193,24.952246
194,25.285116
195,27.373142
196,25.287342
197,24.358473
198,23.606098
199,23.606644
200,23.400284
201,23.113789
202,23.252289
203,23.096943
204,23.61666
205,23.461506
206,22.124048
207,21.29528
208,21.543509
209,19.846102
210,20.705576
211,20.4638
212,18.844896
213,19.809254
214,17.880583
215,18.77553
216,17.40113
217,17.791283
218,17.754324
219,17.25642
220,16.884323
221,16.10372
222,17.748219
223,17.684448
224,17.8784
225,17.742117
226,17.589417
227,17.927021
228,18.655764
229,20.24359
230,20.563437
231,19.24288
232,18.844421
233,18.259932
234,18.199886
235,18.227137
236,17.691706
237,17.715788
238,17.468895
239,17.380514
240,16.684618
241,16.423141
242,16.648619
243,16.41462
244,15.928622
245,16.50377
246,17.350843
247,17.138142
248,16.482807
249,15.981873
250,15.712324
251,15.2991085
252,15.221107
253,15.931554
254,15.625116
255,15.146364
256,15.3491745
257,14.791289
258,14.161194
259,14.065412
260,13.102152
261,12.59892
262,11.838225
263,11.333988
264,12.074258
265,13.530103
266,13.360543
267,11.973066
268,12.409577
269,12.826356
270,12.642333
271,12.046286
272,12.246662
273,12.181489
274,12.667008
275,12.592983
276,12.42318
277,12.810324
278,13.612083
279,14.410149
280,13.00706
281,12.774509
282,12.593966
283,12.769672
284,13.95513
285,14.427338
286,13.957691
287,14.876686
288,15.452752
289,14.568955
290,13.123238
291,14.226992
292,15.941705
293,16.384693
294,15.449697
295,15.086639
296,15.199965
297,14.760977
298,15.3583975
299,17.512753
300,18.35343
301,17.381475
302,18.304834
303,19.361353
304,15.684838
305,14.530794
306,14.077962
307,14.201617
308,14.0218
309,15.050169
310,13.992727
311,13.280147
312,13.724446
313,14.798939
314,15.171866
315,15.212377
316,15.901861
317,16.776575
318,16.726841
319,16.703472
320,16.697468
321,17.854023
322,18.561071
323,18.661036
324,16.812979
325,16.832214
326,16.840693
327,17.879337
328,18.66042
329,18.908136
330,18.692074
331,18.812113
332,19.806385
333,21.46907
334,20.388376
335,20.82932
336,20.528069
337,19.821318
338,20.16195
339,21.584152
340,22.830055
341,25.273046
342,24.594719
343,22.461542
344,22.321358
345,23.066536
346,24.87711
347,23.380377
348,23.044075
349,24.739649
350,25.24319
351,24.086868
352,24.781546
353,25.968721
354,24.744984
355,24.722857
356,25.349083
357,26.765038
358,25.539497
359,26.173895
360,27.438457
361,29.577776
362,27.468174
363,26.43778
364,26.581589
365,27.033623
366,28.323862
367,29.092472
368,27.416302
369,28.065231
370,29.213655
371,27.761915
372,27.20649
373,25.66449
374,26.579338
375,27.578419
376,28.257257
377,29.315434
378,29.191513
379,29.460342
380,30.52398
381,31.247883
382,30.605354
383,31.400652
384,31.975822
385,32.873848
386,34.189083
387,33.808212
388,31.86442
389,32.219307
390,30.619965
391,30.478647
392,32.17122
393,31.753174
394,31.02996
395,30.72804
396,30.45495
397,29.160397
398,27.019144
399,28.1635
400,30.06358
401,31.148354
402,30.123106
403,31.48954
404,32.237606
405,31.221813
406,32.78785
407,33.00774
408,34.065998
409,31.62832
410,31.816387
411,30.833782
412,32.15011
413,33.45073
414,34.602337
415,32.88042
416,34.26058
417,32.829697
418,32.88495
419,34.629356
420,34.786945
421,36.041164
422,36.536327
423,37.348988
424,36.6724
425,37.017395
426,36.59652
427,36.967495
428,33.194492
429,31.444096
430,31.792936
431,34.242012
432,35.898033
433,36.07367
434,33.72644
435,35.52841
436,37.28833
437,36.134384
438,34.364452
439,32.76279
440,33.58784
441,32.877434
442,32.97565
443,34.709236
444,34.63891
445,33.10249
446,32.486206
447,32.06288
448,30.53051
449,30.005165
450,31.880905
451,34.28736
452,30.832653
453,33.6784
454,34.49785
455,35.10876
456,35.240307
457,35.720844
458,35.17448
459,31.89608
460,32.782944
461,33.369736
462,32.777264
463,31.282118
464,28.621204
465,30.663002
466,31.2934
467,32.033844
468,31.59305
469,30.839973
470,30.812712
471,30.996601
472,32.302425
473,31.596172
474,30.261246
475,30.557198
476,31.802816
477,32.17268
478,32.71222
479,30.280422
480,31.502222
481,30.744026
482,30.076378
483,31.946144
484,31.073156
485,30.944515
486,29.644459
487,29.096771
488,31.10748
489,31.770678
490,31.66737
491,30.363726
492,31.06773
493,30.540731
494,31.238155
495,31.617638
496,32.465084
497,32.657143
498,32.087887
499,32.575356
500,32.706234
501,32.705215
502,33.329872
503,33.52756
504,33.329407
505,30.05559
506,30.84384
507,29.479027
508,28.563286
